id,value
Metabolism,G03
Metabolism.Absorption,G03.015
"Metabolism.Absorption.Absorption, Physiological",G03.015.500
"Metabolism.Absorption.Absorption, Physiological.Gastrointestinal Absorption",G03.015.500.374
"Metabolism.Absorption.Absorption, Physiological.Gastrointestinal Absorption.Gastric Absorption",G03.015.500.374.249
"Metabolism.Absorption.Absorption, Physiological.Gastrointestinal Absorption.Intestinal Absorption",G03.015.500.374.500
"Metabolism.Absorption.Absorption, Physiological.Gastrointestinal Absorption.Intestinal Absorption.Intestinal Reabsorption",G03.015.500.374.500.500
"Metabolism.Absorption.Absorption, Physiological.Gastrointestinal Absorption.Oral Mucosal Absorption",G03.015.500.374.650
"Metabolism.Absorption.Absorption, Physiological.Gastrointestinal Absorption.Rectal Absorption",G03.015.500.374.825
"Metabolism.Absorption.Absorption, Physiological.Intramuscular Absorption",G03.015.500.562
"Metabolism.Absorption.Absorption, Physiological.Ocular Absorption",G03.015.500.656
"Metabolism.Absorption.Absorption, Physiological.Peritoneal Absorption",G03.015.500.667
"Metabolism.Absorption.Absorption, Physiological.Renal Reabsorption",G03.015.500.679
"Metabolism.Absorption.Absorption, Physiological.Respiratory Tract Absorption",G03.015.500.703
"Metabolism.Absorption.Absorption, Physiological.Respiratory Tract Absorption.Nasal Absorption",G03.015.500.703.500
"Metabolism.Absorption.Absorption, Physiological.Skin Absorption",G03.015.500.750
"Metabolism.Absorption.Absorption, Physiological.Subcutaneous Absorption",G03.015.500.875
"Metabolism.Absorption.Absorption, Physiological.Vaginal Absorption",G03.015.500.937
Metabolism.Acid-Base Equilibrium,G03.030
Metabolism.Acylation,G03.040
Metabolism.Acylation.Acetylation,G03.040.052
Metabolism.Acylation.Aminoacylation,G03.040.055
Metabolism.Acylation.Aminoacylation.Transfer RNA Aminoacylation,G03.040.055.860
Metabolism.Aerobiosis,G03.049
Metabolism.Alkylation,G03.059
Metabolism.Alkylation.Methylation,G03.059.538
Metabolism.Alkylation.Methylation.DNA Methylation,G03.059.538.161
Metabolism.Amination,G03.068
Metabolism.Anaerobiosis,G03.078
Metabolism.Autotrophic Processes,G03.087
Metabolism.Autotrophic Processes.Chemoautotrophic Growth,G03.087.314
Metabolism.Autotrophic Processes.Nitrogen Fixation,G03.087.630
Metabolism.Biocatalysis,G03.105
Metabolism.Biological Transport,G03.143
"Metabolism.Biological Transport.Biological Transport, Active",G03.143.310
"Metabolism.Biological Transport.Biological Transport, Active.Active Transport, Cell Nucleus",G03.143.310.100
Metabolism.Biological Transport.Capillary Permeability,G03.143.330
Metabolism.Biological Transport.Cell Membrane Permeability,G03.143.335
Metabolism.Biological Transport.Cytoplasmic Streaming,G03.143.355
Metabolism.Biological Transport.Cytoplasmic Streaming.Axonal Transport,G03.143.355.040
Metabolism.Biological Transport.Facilitated Diffusion,G03.143.427
Metabolism.Biological Transport.Ion Transport,G03.143.500
