id,value
Virus Diseases,C02
Virus Diseases.Arbovirus Infections,C02.081
Virus Diseases.Arbovirus Infections.African Horse Sickness,C02.081.030
Virus Diseases.Arbovirus Infections.Bluetongue,C02.081.125
Virus Diseases.Arbovirus Infections.Dengue,C02.081.270
Virus Diseases.Arbovirus Infections.Dengue.Severe Dengue,C02.081.270.200
"Virus Diseases.Arbovirus Infections.Encephalitis, Arbovirus",C02.081.343
"Virus Diseases.Arbovirus Infections.Encephalitis, Arbovirus.Encephalitis, California",C02.081.343.340
"Virus Diseases.Arbovirus Infections.Encephalitis, Arbovirus.Encephalitis, Japanese",C02.081.343.345
"Virus Diseases.Arbovirus Infections.Encephalitis, Arbovirus.Encephalitis, St. Louis",C02.081.343.350
"Virus Diseases.Arbovirus Infections.Encephalitis, Arbovirus.Encephalitis, Tick-Borne",C02.081.343.360
"Virus Diseases.Arbovirus Infections.Encephalitis, Arbovirus.West Nile Fever",C02.081.343.950
"Virus Diseases.Arbovirus Infections.Encephalomyelitis, Equine",C02.081.355
"Virus Diseases.Arbovirus Infections.Encephalomyelitis, Equine.Encephalomyelitis, Eastern Equine",C02.081.355.177
"Virus Diseases.Arbovirus Infections.Encephalomyelitis, Equine.Encephalomyelitis, Venezuelan Equine",C02.081.355.355
"Virus Diseases.Arbovirus Infections.Encephalomyelitis, Equine.Encephalomyelitis, Western Equine",C02.081.355.677
Virus Diseases.Arbovirus Infections.Phlebotomus Fever,C02.081.700
Virus Diseases.Arbovirus Infections.Rift Valley Fever,C02.081.810
Virus Diseases.Arbovirus Infections.Tick-Borne Diseases,C02.081.885
Virus Diseases.Arbovirus Infections.Tick-Borne Diseases.African Swine Fever,C02.081.885.125
Virus Diseases.Arbovirus Infections.Tick-Borne Diseases.Colorado Tick Fever,C02.081.885.200
"Virus Diseases.Arbovirus Infections.Tick-Borne Diseases.Encephalitis, Tick-Borne",C02.081.885.400
"Virus Diseases.Arbovirus Infections.Tick-Borne Diseases.Hemorrhagic Fever, Crimean",C02.081.885.430
